目标字数,最小字数,最大字数,平均字数,±20%区间命中率(%),样本字数列表
1000,1606,2672,2042.12,0.0,"[1659, 2465, 2221, 1696, 1964, 1651, 2215, 2318, 2073, 2398, 2379, 2522, 1692, 2107, 2095, 1866, 1745, 2155, 1947, 2291, 2611, 2078, 2672, 1611, 2293, 2250, 1717, 1979, 1815, 1692, 1804, 2116, 1775, 1669, 1907, 1986, 2028, 2249, 1859, 2477, 2005, 1983, 2292, 2001, 1770, 1910, 1870, 2276, 1931, 1987, 1919, 1869, 2380, 2641, 1978, 1835, 1966, 1606, 2217, 1931, 2404, 2198, 2162, 2196, 1999, 1673, 2006, 2278, 2332, 1758, 2252, 1954, 1881, 2197, 2104, 2112, 1822, 1747, 1929, 2214, 2088, 1733, 1938, 1935, 2288, 2284, 2071, 2115, 1743, 1984, 1932, 1809, 1929, 2116, 2323, 2181, 2105, 2131, 1916, 1959]"
2000,2264,9362,3256.52,3.0,"[2702, 3308, 3481, 2911, 9362, 3595, 3228, 5661, 2964, 2920, 2837, 2957, 3887, 3336, 3609, 3197, 3184, 3308, 2860, 3081, 2562, 3226, 3186, 2723, 3156, 3340, 2927, 2666, 3374, 3396, 3382, 3090, 3162, 3368, 3123, 3916, 2923, 2802, 3094, 3304, 3034, 2635, 2960, 2963, 2834, 3673, 3023, 3749, 2679, 2694, 3109, 3509, 2591, 3186, 3405, 3003, 2666, 2835, 3034, 9283, 4086, 3038, 3530, 3370, 3546, 3133, 2264, 2824, 3150, 2638, 3100, 2860, 2887, 3676, 2387, 2865, 3044, 2878, 4164, 2819, 2922, 3514, 2586, 3485, 2905, 2866, 3560, 3181, 3087, 2987, 4049, 2954, 2860, 3128, 2345, 2867, 2946, 3072, 2949, 3157]"
3000,2723,13361,8936.8,4.0,"[11011, 9343, 12854, 10862, 9148, 8970, 4237, 6569, 10402, 10796, 10119, 10028, 11499, 8946, 10553, 9491, 10392, 13350, 9834, 3905, 9286, 8134, 10299, 9289, 5513, 7224, 10073, 8786, 11678, 8265, 11073, 9424, 4695, 3813, 3916, 9864, 9482, 8518, 9119, 10325, 7735, 10348, 11257, 8507, 9887, 10760, 11196, 8894, 10881, 10694, 12561, 10547, 3017, 7743, 9638, 11040, 9034, 8857, 11688, 10775, 9563, 9843, 11007, 10593, 9461, 8704, 4236, 3690, 5064, 7977, 12295, 9434, 8949, 6232, 9380, 9975, 11869, 4480, 9778, 9877, 10713, 8228, 8835, 10273, 10279, 9910, 4873, 9438, 7086, 8068, 13361, 7642, 9377, 4563, 3350, 9793, 11226, 3449, 2723, 11942]"
4000,5828,15250,10931.79,0.0,"[8359, 7825, 11458, 11851, 8825, 11248, 12316, 14925, 9228, 14705, 10255, 11169, 11864, 11501, 10804, 12001, 7995, 10126, 11967, 9075, 11571, 12659, 12712, 9846, 10354, 9600, 11251, 9344, 8678, 10255, 12404, 13154, 9963, 11207, 7870, 13721, 10275, 12347, 13613, 11272, 12669, 15250, 12330, 10585, 11096, 8847, 10194, 9820, 10973, 11863, 8595, 11454, 9787, 11579, 10938, 9720, 11359, 11741, 9740, 10808, 10819, 8603, 11249, 12682, 9962, 9879, 12016, 11534, 10493, 12243, 9322, 10256, 9557, 10989, 11271, 9658, 12407, 11359, 9734, 12343, 5828, 9179, 10212, 9789, 12057, 12195, 10301, 14346, 11899, 11222, 13941, 10364, 10254, 8592, 12236, 12423, 11114, 11109, 9163, 11638]"
5000,7180,15568,12274.27,0.0,"[10968, 12803, 13653, 12233, 10146, 7180, 11271, 11054, 10972, 14270, 13003, 13024, 12160, 8811, 13299, 12399, 13358, 12225, 13056, 7708, 10530, 10642, 11935, 11970, 14868, 11440, 12942, 12191, 12264, 11054, 11557, 15207, 14227, 13409, 11282, 13156, 12656, 14808, 14540, 14885, 14050, 15318, 13988, 11910, 14994, 11906, 14188, 10787, 10302, 11717, 10057, 8939, 13797, 12388, 10348, 12616, 11888, 12756, 11032, 11194, 12294, 14778, 10349, 11080, 13850, 14180, 10800, 12053, 10862, 14334, 13456, 13146, 13762, 14751, 12070, 10810, 13027, 11493, 14869, 15118, 14644, 10882, 10646, 12804, 12010, 12570, 15568, 12154, 11048, 14113, 13595, 8604, 8505, 11732, 12197, 11377, 12422, 12383, 9812, 9948]"
6000,5065,15483,12083.71,1.0,"[11926, 9813, 12749, 11404, 12572, 13152, 10110, 13011, 12004, 11994, 13896, 13950, 12830, 11833, 10290, 12611, 13598, 14489, 12437, 12783, 12247, 9633, 11483, 12825, 12506, 12832, 12238, 11864, 13541, 13803, 13466, 11699, 11214, 10792, 11330, 13221, 8964, 11391, 14298, 11090, 12482, 10979, 11578, 12627, 12558, 15230, 5065, 11405, 13402, 11783, 12329, 11384, 10149, 12863, 15188, 10271, 14984, 9941, 9724, 10708, 15364, 10129, 13909, 10226, 11374, 14959, 11350, 15483, 11779, 13669, 12364, 11478, 11582, 8205, 11472, 14144, 12187, 11316, 11988, 9126, 11564, 12027, 11724, 10647, 9067, 12543, 12102, 10833, 12395, 12669, 12075, 14142, 14354, 12095, 13160, 13943, 13763, 12716, 12526, 9383]"
7000,7397,15427,12497.5,1.0,"[11538, 10971, 13189, 11295, 12011, 13973, 9289, 10679, 9897, 12721, 11958, 11962, 10583, 13138, 12142, 14545, 15216, 12462, 12815, 10209, 13800, 10838, 14456, 13023, 14421, 11455, 10779, 15284, 15318, 13244, 11697, 9835, 11801, 14212, 11048, 7397, 11416, 11145, 11467, 12708, 12934, 12656, 11481, 11190, 12145, 15092, 12911, 12184, 13186, 14681, 14238, 12577, 11340, 14392, 11320, 14917, 12352, 14613, 10933, 14654, 12041, 9336, 13658, 13158, 11119, 15242, 11682, 11943, 10160, 12670, 11463, 11481, 13529, 14464, 9588, 12701, 14585, 12593, 13029, 14015, 15291, 9029, 12344, 13114, 10916, 12252, 12915, 12673, 11960, 10663, 8554, 13926, 15427, 11822, 12921, 11686, 15072, 15067, 14947, 14981]"
8000,8347,15636,12638.4,3.0,"[15087, 11379, 13818, 14826, 11784, 12495, 14266, 14031, 9874, 11430, 13112, 10592, 11024, 11899, 13668, 10008, 12434, 9813, 11862, 15174, 12907, 15165, 15124, 8347, 10815, 10628, 12313, 11399, 13472, 9561, 14610, 11981, 12085, 15280, 10695, 11231, 13842, 11786, 11752, 11725, 14363, 15114, 15121, 14243, 12572, 15077, 14015, 11236, 11924, 13935, 13087, 13718, 15147, 12275, 9865, 12164, 13767, 14043, 14215, 12781, 13853, 13342, 12635, 10320, 9895, 14040, 13828, 15269, 11063, 13874, 10489, 12294, 9322, 11358, 14130, 12199, 12430, 13415, 15154, 10126, 15636, 13464, 10434, 11141, 11297, 13345, 11955, 14511, 13246, 11132, 11284, 11779, 12111, 13085, 12048, 14879, 13130, 15018, 12709, 10644]"
