目标字数,最小字数,最大字数,平均字数,±20%区间命中率(%),样本字数列表
1000,1005,1504,1215.94,47.0,"[1362, 1087, 1186, 1341, 1117, 1159, 1123, 1487, 1199, 1230, 1133, 1344, 1108, 1163, 1292, 1137, 1015, 1103, 1163, 1260, 1305, 1104, 1070, 1022, 1140, 1383, 1105, 1005, 1052, 1213, 1392, 1157, 1253, 1238, 1275, 1422, 1434, 1269, 1032, 1248, 1281, 1313, 1130, 1076, 1272, 1092, 1265, 1058, 1083, 1288, 1384, 1126, 1078, 1227, 1307, 1280, 1504, 1110, 1256, 1032, 1269, 1312, 1471, 1417, 1027, 1200, 1201, 1246, 1221, 1120, 1273, 1090, 1214, 1027, 1213, 1069, 1491, 1179, 1050, 1392, 1441, 1207, 1145, 1267, 1471, 1317, 1145, 1116, 1238, 1205, 1468, 1194, 1045, 1024, 1422, 1061, 1238, 1336, 1412, 1070]"
2000,1244,6867,2290.42,57.0,"[1697, 2440, 5504, 1641, 3950, 4535, 3691, 1338, 1565, 2125, 1771, 2146, 1531, 1739, 2849, 1713, 1680, 1714, 2307, 2106, 2073, 4426, 1373, 2711, 2043, 1254, 1948, 2396, 1533, 3742, 1893, 1805, 2068, 2528, 3255, 6008, 1580, 1522, 1885, 2569, 1827, 1758, 2183, 2382, 1685, 2629, 2096, 2763, 2071, 1484, 1784, 2335, 1426, 1653, 1909, 2031, 1546, 5786, 2561, 1732, 1703, 6867, 1393, 1663, 1845, 1283, 1884, 1992, 1753, 2039, 1886, 2024, 1494, 3584, 5295, 1244, 2400, 1955, 3544, 2723, 2102, 2076, 1808, 2039, 1602, 1785, 2411, 2208, 1887, 2067, 2179, 2246, 2164, 2613, 2007, 1587, 1398, 2569, 1427, 2001]"
3000,1286,8239,3728.76,31.0,"[5643, 3898, 2719, 3294, 3097, 2784, 2125, 3997, 6235, 1705, 4262, 2861, 2719, 3085, 4837, 1697, 5789, 1644, 1780, 4580, 2173, 2732, 3546, 3228, 3194, 1845, 3491, 2160, 2949, 2417, 2846, 4267, 2441, 4067, 4899, 1883, 3468, 3928, 3520, 4925, 3421, 5770, 4727, 4252, 3836, 2959, 4833, 1638, 2060, 1492, 5891, 1286, 3666, 1524, 2051, 5116, 4888, 2903, 4742, 3838, 4671, 3880, 5055, 2093, 2680, 5274, 4500, 2886, 4387, 2376, 5288, 3098, 4738, 2805, 2548, 4829, 4245, 5296, 6382, 7985, 8239, 4832, 7028, 4426, 1699, 1392, 4215, 5119, 3182, 3256, 4646, 5436, 2238, 2059, 6426, 2711, 4409, 3329, 2984, 6611]"
4000,1721,7648,4714.88,26.0,"[6388, 4568, 2820, 2826, 5177, 6154, 5213, 3930, 5254, 3443, 4920, 5245, 3938, 4931, 7278, 5221, 5363, 4776, 4792, 2415, 5056, 5797, 5578, 2559, 5990, 5700, 4628, 5592, 6948, 4650, 2118, 3533, 6093, 6471, 7112, 3089, 2339, 2549, 1721, 3926, 5139, 5900, 3740, 5270, 4800, 5112, 4974, 6862, 3903, 4285, 5946, 6166, 6220, 3365, 4649, 5567, 4364, 1935, 4397, 4968, 3644, 2635, 2833, 2667, 2872, 4785, 4914, 5494, 2210, 5026, 4827, 6049, 2856, 3185, 3693, 6170, 2463, 7128, 3784, 4289, 5370, 4476, 7648, 2989, 5541, 4896, 3541, 5451, 6006, 4172, 6027, 6122, 4998, 6367, 6615, 2893, 5404, 5334, 5866, 6585]"
5000,1292,7804,5095.82,46.0,"[5091, 4891, 6023, 6618, 2219, 6712, 6404, 6842, 4744, 2837, 3481, 6022, 7433, 5388, 7804, 5735, 5228, 5085, 7751, 7066, 6894, 2554, 6048, 5143, 5270, 4764, 2002, 3243, 4324, 4837, 4544, 6988, 1292, 3537, 4414, 5748, 5563, 6999, 6927, 2803, 5036, 6685, 3965, 3844, 4815, 4390, 6108, 5642, 4699, 6395, 5646, 3443, 6208, 7336, 4121, 6952, 7255, 6155, 4800, 6722, 5867, 2530, 6024, 6556, 6871, 6508, 5151, 4461, 5009, 6553, 6121, 2361, 4913, 4431, 2825, 5545, 1858, 4687, 5340, 1371, 6295, 4098, 4135, 5366, 4226, 5491, 4002, 3645, 3962, 2245, 3863, 4666, 6676, 5251, 4137, 5063, 7799, 4869, 5809, 5517]"
6000,1119,9281,4654.8,50.0,"[6418, 1708, 2834, 1283, 7554, 3091, 7184, 4983, 6363, 6605, 5968, 5497, 5773, 2109, 7296, 5357, 1461, 1223, 1247, 3905, 1376, 1288, 1290, 5422, 4989, 7807, 7747, 5288, 6948, 1237, 1734, 5922, 1680, 1119, 5421, 6172, 5402, 1991, 5195, 2007, 1316, 7486, 6945, 3094, 5919, 6397, 3105, 5934, 1489, 4681, 5822, 5002, 1461, 1518, 9281, 1244, 1354, 5039, 6229, 8375, 7146, 6602, 5775, 6259, 1735, 7009, 1543, 5011, 6028, 5391, 3502, 3149, 2092, 7469, 7731, 5922, 1766, 6903, 1523, 5289, 5860, 6330, 5243, 5835, 7734, 6654, 4453, 6041, 1316, 7127, 8232, 1816, 6094, 7096, 5235, 6773, 6103, 6855, 1343, 1910]"
7000,1196,9120,4455.23,43.0,"[7344, 1668, 6173, 1358, 1863, 1402, 6931, 7370, 1896, 1307, 3455, 6980, 4471, 8677, 2456, 1453, 5346, 5943, 6871, 6192, 6482, 1286, 1420, 6128, 1813, 2700, 7744, 7301, 7352, 1757, 1564, 1723, 7092, 6062, 7665, 1684, 1980, 4136, 1302, 6708, 6375, 1387, 6003, 5627, 2993, 6644, 1916, 6570, 5763, 7726, 1278, 8150, 1902, 6974, 1501, 4062, 6528, 7370, 1326, 4983, 1364, 1916, 7936, 5130, 1713, 3623, 8917, 1870, 1658, 6513, 2945, 6046, 6525, 4547, 6663, 7622, 1611, 3380, 5910, 1532, 1580, 6214, 1374, 7314, 5563, 5932, 1417, 2091, 6610, 8122, 9120, 1242, 1685, 6540, 7188, 5834, 1611, 1196, 4134, 5202]"
8000,1062,9857,2773.49,13.0,"[2151, 1654, 1351, 1695, 1661, 1286, 1383, 1402, 5508, 1267, 1602, 6931, 1707, 1565, 1431, 2027, 1566, 4349, 1687, 2468, 2229, 1152, 7530, 1856, 1184, 1201, 1944, 1480, 1773, 2016, 1613, 2547, 2108, 1723, 7119, 1062, 6479, 5430, 7171, 1661, 2424, 1532, 2088, 1605, 8045, 1545, 1152, 1330, 2277, 6211, 1418, 1160, 1142, 1433, 7879, 2404, 1087, 1074, 1808, 8452, 6478, 1837, 1225, 1211, 1066, 5569, 6542, 1310, 7688, 3092, 1679, 1332, 1142, 2624, 1890, 1906, 1524, 1782, 8531, 1352, 1754, 2793, 2287, 9857, 1300, 3844, 1214, 5297, 1395, 5485, 1201, 1717, 2058, 1923, 8378, 1576, 1441, 1510, 1112, 1392]"
