目标字数,最小字数,最大字数,平均字数,±20%区间命中率(%),样本字数列表
1000,978,1530,1202.28,55.0,"[1362, 1408, 1083, 1029, 1020, 1182, 1285, 1283, 1166, 1235, 1405, 1370, 1272, 1112, 1212, 1213, 1164, 1345, 1333, 1079, 1135, 1039, 1323, 1166, 1338, 1464, 1268, 1254, 1016, 1241, 1211, 1199, 1089, 1165, 1159, 1123, 1045, 1085, 1523, 1070, 1390, 978, 1247, 1172, 1018, 1216, 1243, 1169, 1200, 1245, 1225, 1188, 1169, 1076, 1171, 1201, 1217, 1140, 1153, 1048, 1378, 1245, 1136, 1246, 1350, 1130, 1108, 1142, 1284, 1099, 1355, 1493, 1168, 1096, 1233, 1530, 1123, 1130, 1133, 1196, 1120, 1035, 1244, 1122, 1054, 1126, 1400, 1315, 1446, 1203, 1105, 1142, 1083, 1074, 1248, 1115, 1081, 1267, 1131, 1405]"
2000,1001,2119,1455.33,25.0,"[1405, 1345, 1964, 1765, 1732, 2119, 1704, 1565, 1898, 1227, 1442, 1348, 1482, 1116, 1568, 1529, 1889, 1369, 1330, 1762, 1001, 1268, 1352, 1248, 1184, 1540, 1085, 1444, 1442, 1190, 1393, 1137, 1366, 1953, 1400, 1119, 1529, 1258, 1568, 1459, 2059, 1271, 1309, 1276, 1113, 1164, 1420, 1703, 1459, 1395, 1308, 1475, 1107, 1955, 1624, 1801, 1174, 1582, 1876, 1265, 1704, 1287, 1163, 1391, 1147, 1375, 1537, 1283, 1480, 1412, 1484, 1394, 1600, 1259, 1079, 1515, 2009, 1320, 1520, 1650, 1555, 1314, 1160, 1235, 1403, 1941, 1499, 1484, 1259, 1393, 1666, 1607, 1765, 1221, 1335, 1216, 1718, 1185, 1686, 1451]"
3000,1035,4960,1828.11,8.0,"[1418, 1558, 1499, 1413, 2487, 1203, 1668, 2236, 1512, 4960, 1563, 1949, 2847, 2112, 1972, 1494, 1724, 1882, 1888, 1522, 1703, 1667, 4539, 1358, 2119, 1638, 1457, 1664, 1647, 1505, 1605, 1639, 1487, 2108, 1934, 3216, 3614, 2142, 1842, 1108, 1588, 1360, 1817, 2218, 1753, 1601, 1629, 1429, 2606, 1456, 2168, 1390, 1435, 1787, 1428, 2200, 1898, 1035, 1392, 1658, 1533, 1530, 2895, 1934, 1795, 1187, 1403, 1518, 1141, 2320, 1661, 1793, 2279, 1458, 1925, 1994, 1428, 1408, 1911, 2038, 2181, 1760, 1737, 1864, 1584, 1489, 1513, 2631, 1709, 1755, 1779, 1253, 1367, 1631, 1618, 2424, 1327, 2637, 1208, 1446]"
4000,1231,5758,2000.14,4.0,"[1514, 3300, 1395, 1549, 2700, 1519, 2369, 1442, 1823, 2265, 2314, 1549, 1990, 1231, 1455, 2641, 2103, 1879, 1984, 1936, 2152, 2095, 1700, 1835, 1485, 1813, 1589, 1918, 1685, 1902, 1513, 2895, 1462, 2262, 1789, 1704, 1504, 1605, 1836, 1269, 1662, 1993, 2120, 2083, 2126, 2140, 1301, 1705, 2201, 2245, 1655, 1386, 1304, 2278, 1434, 5571, 1821, 1498, 2149, 1786, 1519, 1904, 1290, 1963, 1612, 2096, 1431, 1252, 2378, 1261, 1911, 1811, 2601, 2575, 1349, 1994, 1440, 2323, 2253, 2145, 1314, 1949, 1609, 2228, 1777, 4074, 1832, 3661, 2000, 1576, 1709, 3912, 3017, 5758, 1998, 1655, 2077, 1760, 1733, 1838]"
5000,1224,9660,2193.33,4.0,"[1531, 2006, 2188, 1649, 1522, 2116, 1574, 1698, 1676, 1859, 2249, 1892, 5251, 1479, 1965, 1897, 1435, 1902, 1651, 1564, 2500, 2275, 2791, 2362, 2347, 1569, 3362, 1312, 2814, 1618, 3846, 1507, 1550, 2362, 1620, 1753, 6196, 1377, 1489, 1786, 5336, 1436, 1827, 1306, 1606, 1698, 2071, 2248, 2262, 1480, 6084, 1465, 1224, 1653, 1787, 1530, 1779, 1339, 3974, 1709, 2076, 1360, 1735, 1423, 1723, 1712, 2229, 5501, 1336, 2205, 1691, 1843, 1236, 1908, 2203, 1746, 1288, 2163, 3138, 1501, 1971, 1610, 1717, 2328, 1877, 9660, 3647, 1435, 1635, 1541, 1781, 5371, 1556, 2800, 1664, 1837, 2340, 1764, 1680, 1748]"
6000,1184,9057,2214.69,5.0,"[2441, 2020, 2209, 1918, 2385, 8143, 2003, 1888, 2319, 1809, 2342, 2380, 2018, 1494, 2701, 1608, 1210, 2238, 2040, 1369, 1761, 1316, 2138, 3713, 1338, 1217, 1417, 2087, 5224, 1717, 1510, 1847, 1882, 1668, 2077, 1365, 1311, 4259, 4588, 5032, 1520, 1499, 3545, 1499, 1888, 2528, 1848, 1522, 2000, 1534, 2032, 4804, 6870, 9057, 1742, 1465, 1651, 1613, 2030, 2116, 1597, 1441, 1546, 1528, 1437, 1184, 1435, 1257, 2653, 1746, 1192, 1765, 1746, 2090, 1988, 1675, 1825, 1456, 1315, 1750, 1819, 1326, 1358, 1978, 1749, 2776, 1875, 1504, 1208, 3684, 3116, 6543, 1240, 1572, 1326, 1653, 1413, 2145, 1784, 2009]"
7000,1086,6534,1769.85,1.0,"[1491, 1274, 1750, 1086, 1596, 1268, 1412, 1217, 1318, 1424, 1470, 1493, 1321, 3162, 1503, 1554, 1411, 1456, 3025, 1436, 2300, 1707, 2490, 1333, 1251, 2169, 1460, 1761, 2928, 1422, 1791, 1404, 1668, 1568, 1545, 1605, 1326, 1346, 1242, 1537, 2597, 1773, 1596, 1242, 1254, 1689, 1375, 1477, 1693, 1623, 1276, 1885, 2852, 1345, 2346, 1604, 1589, 2902, 1909, 1345, 1655, 1241, 1509, 1596, 1270, 1892, 2417, 1793, 1954, 1846, 1408, 1514, 2067, 1816, 1399, 1688, 2415, 1213, 3508, 1359, 2819, 6534, 2190, 2157, 2409, 1934, 2248, 1353, 1440, 1969, 1796, 1542, 1144, 1929, 1281, 1524, 1929, 1591, 1370, 1374]"
8000,986,2833,1650.41,0.0,"[1693, 1429, 1653, 1604, 1457, 2667, 1457, 1992, 2024, 1505, 1680, 2194, 1918, 1282, 1861, 1288, 1411, 1460, 1468, 1556, 1857, 1705, 1795, 1254, 1483, 1513, 1387, 2165, 1108, 1441, 1413, 1976, 1678, 2408, 1300, 1512, 1983, 1293, 2051, 1532, 1542, 1783, 1488, 2092, 1642, 2297, 1485, 1660, 1396, 1434, 1635, 1434, 1394, 1725, 1667, 1522, 1852, 1415, 1775, 1354, 1207, 1431, 1747, 1490, 1944, 1326, 1628, 1396, 2076, 1855, 2637, 1434, 1515, 1157, 1278, 1400, 1534, 1468, 1800, 1864, 1385, 2199, 1423, 986, 1537, 1761, 1767, 1987, 2027, 1458, 1332, 1735, 1908, 1318, 1813, 1589, 2833, 1321, 1766, 1664]"
